bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1904311,1488272,2025-02-12,House,"House: Third Reading RCS# 17",92,5,0,3,100
1904346,1500773,2025-02-26,House,"House: Third Reading RCS# 89",95,0,0,5,100
1904357,1501758,2025-02-27,Senate,"Senate: Third Reading W/scs1 sfa1 RSN# 3402",35,2,0,1,38
1904357,1518190,2025-03-14,House,"House: Third Reading RCS# 278",85,2,0,13,100
1904357,1518191,2025-03-14,Senate,"Senate: Third Reading RSN# 3578",36,0,0,2,38
1904360,1501875,2025-02-27,House,"House: Third Reading RCS# 110",94,0,0,6,100
1904372,1500519,2025-02-26,House,"House: Adopt HFA 1 RCS# 80",11,62,0,27,100
1904372,1500520,2025-02-26,House,"House: Third Reading RCS# 81",68,29,0,3,100
1904377,1496569,2025-02-21,House,"House: Third Reading RCS# 55",88,4,0,8,100
1904377,1516632,2025-03-12,Senate,"Senate: Third Reading RSN# 3490",37,0,0,1,38
1904400,1499407,2025-02-25,Senate,"Senate: Third Reading RSN# 3385",31,6,0,1,38
1904400,1517834,2025-03-13,House,"House: Adopt HCS 1 RCS# 257",67,20,0,13,100
1904400,1517835,2025-03-13,House,"House: Suspend the Rules RCS# 258",19,25,0,56,100
1904400,1517836,2025-03-13,House,"House: Suspend the Rules RCS# 259",17,35,0,48,100
1904400,1517837,2025-03-13,House,"House: Third Reading RCS# 260",72,19,0,9,100
1904400,1518174,2025-03-14,Senate,"Senate: Third Reading RSN# 3554",26,10,0,2,38
1904400,1529631,2025-03-27,Senate,"Senate: Third Reading RSN# 3584",29,8,0,1,38
1904400,1529632,2025-03-27,House,"House: Third Reading RCS# 337",74,17,0,9,100
1904414,1484124,2025-02-07,Senate,"Senate: Third Reading W/scs1 sfa1 RSN# 3343",37,0,1,0,38
1904420,1471229,2025-01-08,House,"House: Adopt  RCS# 4",20,75,0,5,100
1904427,1495852,2025-02-20,Senate,"Senate: Third Reading W/scs1 RSN# 3375",34,0,0,4,38
1904427,1517700,2025-03-13,House,"House: Third Reading RCS# 239",95,0,0,5,100
1904427,1517701,2025-03-13,Senate,"Senate: Third Reading RSN# 3514",30,5,1,2,38
1904427,1517702,2025-03-13,Senate,"Senate: Third Reading RSN# 3515",38,0,0,0,38
1904427,1529611,2025-03-27,Senate,"Senate: Third Reading RSN# 3586",32,6,0,0,38
1904427,1529612,2025-03-27,House,"House: Third Reading RCS# 341",81,10,0,9,100
1904430,1492830,2025-02-18,Senate,"Senate: Third Reading W/scs1 scta1 RSN# 3364",36,0,0,2,38
1904430,1515397,2025-03-11,House,"House: Third Reading RCS# 201",92,1,0,7,100
1904441,1492829,2025-02-18,Senate,"Senate: Third Reading RSN# 3363",37,0,0,1,38
1904441,1515377,2025-03-11,House,"House: Third Reading RCS# 211",91,2,0,7,100
1904455,1492807,2025-02-18,House,"House: Third Reading RCS# 24",93,0,0,7,100
1904455,1515331,2025-03-11,Senate,"Senate: Third Reading RSN# 3465",35,0,0,3,38
1904469,1505094,2025-03-04,House,"House: Third Reading RCS# 142",98,1,0,1,100
1904469,1518201,2025-03-14,Senate,"Senate: Third Reading W/scs1 RSN# 3561",37,0,0,1,38
1904469,1530446,2025-03-28,House,"House: Third Reading RCS# 355",96,1,0,3,100
1904493,1471227,2025-01-09,House,"House: Adopt HFA 8 RCS# 6",20,77,0,3,100
1904493,1471228,2025-01-09,House,"House: Third Reading RCS# 7",90,7,0,3,100
1904493,1480280,2025-02-04,Senate,"Senate: Third Reading RSN# 3337",34,3,0,1,38
1904511,1508043,2025-03-06,House,"House: Third Reading RCS# 167",82,9,0,9,100
1904511,1517832,2025-03-13,Senate,"Senate: Third Reading W/scs1 scta1 RSN# 3506",29,0,5,4,38
1904511,1517833,2025-03-13,House,"House: Third Reading RCS# 244",74,17,0,9,100
1904511,1529607,2025-03-27,House,"House: Third Reading RCS# 326",77,20,0,3,100
1904511,1529608,2025-03-27,Senate,"Senate: Third Reading RSN# 3665",31,7,0,0,38
1904524,1488271,2025-02-12,House,"House: Third Reading RCS# 16",85,12,0,3,100
1904524,1515347,2025-03-11,Senate,"Senate: Third Reading W/scs1 RSN# 3467",29,6,0,3,38
1904524,1518169,2025-03-14,House,"House: Third Reading RCS# 292",77,12,0,11,100
1904528,1496544,2025-02-21,House,"House: Third Reading RCS# 54",89,1,0,10,100
1904528,1530497,2025-03-28,Senate,"Senate: Third Reading RSN# 3679",38,0,0,0,38
1904533,1484093,2025-02-07,Senate,"Senate: Third Reading W/scs1 RSN# 3344",38,0,0,0,38
1904533,1517652,2025-03-13,House,"House: Third Reading RCS# 246",84,8,0,8,100
1904533,1518215,2025-03-14,Senate,"Senate: Third Reading RSN# 3556",35,0,0,3,38
1904537,1492757,2025-02-18,House,"House: Third Reading RCS# 26",92,0,0,8,100
1904537,1516625,2025-03-12,Senate,"Senate: Third Reading W/scs1 sfa1 RSN# 3486",38,0,0,0,38
1904537,1518226,2025-03-14,House,"House: Third Reading RCS# 266",91,0,0,9,100
1904539,1496563,2025-02-21,House,"House: Third Reading RCS# 62",90,1,0,9,100
1904539,1516630,2025-03-12,Senate,"Senate: Third Reading RSN# 3483",37,0,0,1,38
1904541,1508777,2025-03-07,House,"House: Third Reading RCS# 197",91,0,0,9,100
1904544,1484127,2025-02-07,Senate,"Senate: Third Reading RSN# 3342",34,0,3,1,38
1904561,1492854,2025-02-18,Senate,"Senate: Third Reading W/scs1 sfa2 RSN# 3365",36,0,0,2,38
1904569,1506648,2025-03-05,Senate,"Senate: Third Reading W/scs1 RSN# 3428",37,0,0,1,38
1904569,1517659,2025-03-13,House,"House: Third Reading RCS# 247",83,13,0,4,100
1904573,1516695,2025-03-12,House,"House: Third Reading RCS# 230",68,23,0,9,100
1904584,1489478,2025-02-13,Senate,"Senate: Third Reading RSN# 3357",33,4,0,1,38
1904608,1483304,2025-02-06,Senate,"Senate: Third Reading W/sfa1 RSN# 3340",38,0,0,0,38
1904608,1492822,2025-02-18,House,"House: Third Reading RCS# 27",92,1,0,7,100
1904610,1499469,2025-02-25,House,"House: Third Reading RCS# 74",96,0,0,4,100
1904617,1496048,2025-02-20,House,"House: Third Reading RCS# 49",93,0,0,7,100
1904635,1500697,2025-02-26,House,"House: Third Reading RCS# 98",87,4,0,9,100
1904652,1496404,2025-02-21,House,"House: Third Reading RCS# 63",90,1,0,9,100
1904662,1502563,2025-02-28,Senate,"Senate: Third Reading W/scs1 RSN# 3406",34,0,0,4,38
1904662,1518162,2025-03-14,House,"House: Third Reading RCS# 289",87,0,0,13,100
1904662,1518163,2025-03-14,Senate,"Senate: Third Reading RSN# 3577",36,0,0,2,38
1904685,1502520,2025-02-28,House,"House: Third Reading RCS# 128",92,0,0,8,100
1904696,1484116,2025-02-07,Senate,"Senate: Third Reading W/scs1 RSN# 3345",37,0,1,0,38
