bill_id,people_id,position
1904309,22053,1
1904309,25779,2
1904311,20269,6
1904311,23619,1
1904311,23620,4
1904311,23690,2
1904311,23693,3
1904311,25777,5
1904314,16667,13
1904314,17926,7
1904314,18251,14
1904314,18392,15
1904314,18427,26
1904314,18431,5
1904314,20477,10
1904314,20483,25
1904314,20556,17
1904314,21423,3
1904314,21616,29
1904314,22050,2
1904314,22051,6
1904314,22057,8
1904314,22058,9
1904314,22061,16
1904314,22062,18
1904314,22065,23
1904314,22066,24
1904314,22069,28
1904314,23010,20
1904314,23011,27
1904314,23619,19
1904314,23620,1
1904314,23622,21
1904314,23699,30
1904314,25184,11
1904314,25769,4
1904314,25771,12
1904314,25779,22
1904316,16669,1
1904318,21423,2
1904318,23626,1
1904322,20489,1
1904324,22179,2
1904324,25002,1
1904327,16111,1
1904331,22180,1
1904332,1179,1
1904332,1191,2
1904335,1179,1
1904335,1191,2
1904337,17672,1
1904341,22053,2
1904341,22064,3
1904341,25779,1
1904344,22180,2
1904344,24909,1
1904346,21423,1
1904346,23690,2
1904349,16603,1
1904355,23626,1
1904357,16111,1
1904357,22180,2
1904360,18428,1
1904362,24909,1
1904369,16640,2
1904369,23621,3
1904369,23690,1
1904369,23693,4
1904372,1141,9
1904372,16667,2
1904372,16669,29
1904372,18251,1
1904372,18392,17
1904372,18431,4
1904372,20474,22
1904372,20483,28
1904372,20489,15
1904372,20557,20
1904372,21616,32
1904372,22050,3
1904372,22053,6
1904372,22054,7
1904372,22056,10
1904372,22057,11
1904372,22059,16
1904372,22061,18
1904372,22062,19
1904372,22064,24
1904372,22065,27
1904372,22069,31
1904372,23011,30
1904372,23619,21
1904372,23620,13
1904372,23622,23
1904372,23623,25
1904372,23689,5
1904372,23692,8
1904372,25771,12
1904372,25774,14
1904372,25779,26
1904377,21423,1
1904381,21616,4
1904381,22057,1
1904381,23620,2
1904381,25779,3
1904385,20477,2
1904385,20489,7
1904385,21616,12
1904385,22058,1
1904385,22064,9
1904385,23620,6
1904385,23693,4
1904385,25184,3
1904385,25771,5
1904385,25776,8
1904385,25779,10
1904385,25782,11
1904387,23563,2
1904387,23564,3
1904387,23721,1
1904390,22053,2
1904390,22056,1
1904390,25779,3
1904393,21423,1
1904395,18428,1
1904399,23693,1
1904400,18252,1
1904400,23563,3
1904400,23564,4
1904400,23721,2
1904405,16111,1
1904407,20557,3
1904407,22064,1
1904407,23692,2
1904410,24909,1
1904414,18339,3
1904414,23628,2
1904414,25002,1
1904417,11085,27
1904417,16667,19
1904417,16669,1
1904417,18251,20
1904417,18392,26
1904417,18427,42
1904417,18431,6
1904417,18432,15
1904417,18493,38
1904417,19375,34
1904417,20373,29
1904417,20474,33
1904417,20477,16
1904417,20483,41
1904417,20485,8
1904417,20489,24
1904417,20557,31
1904417,21423,4
1904417,21424,21
1904417,22050,3
1904417,22052,7
1904417,22053,10
1904417,22054,2
1904417,22056,12
1904417,22057,13
1904417,22058,14
1904417,22059,25
1904417,22062,30
1904417,22064,37
1904417,22066,40
1904417,22069,45
1904417,23010,35
1904417,23011,44
1904417,23619,32
1904417,23620,22
1904417,23622,36
1904417,23689,9
1904417,23692,11
1904417,25184,17
1904417,25769,5
1904417,25771,18
1904417,25774,23
1904417,25776,28
1904417,25779,39
1904417,25780,43
1904418,23620,1
1904420,22067,2
1904420,23618,3
1904420,23621,1
1904427,1249,3
1904427,22071,1
1904427,25786,2
1904430,18252,1
1904432,20557,1
1904432,21616,6
1904432,22053,3
1904432,22064,2
1904432,23619,4
1904432,25779,5
1904434,16640,2
1904434,22067,6
1904434,23621,3
1904434,23624,1
1904434,23690,5
1904434,25003,4
1904434,25781,7
1904437,20556,1
1904437,25003,2
1904441,18252,1
1904446,16640,2
1904446,23693,1
1904449,21423,1
1904449,23690,2
1904449,25781,3
1904455,1179,1
1904455,18392,6
1904455,18427,13
1904455,18428,9
1904455,18430,2
1904455,22062,7
1904455,22066,11
1904455,23618,3
1904455,23620,5
1904455,23690,4
1904455,23696,12
1904455,25777,8
1904455,25779,10
1904457,1244,2
1904457,22070,1
1904461,22180,1
1904461,25784,2
1904463,16640,4
1904463,18430,8
1904463,21423,3
1904463,23618,2
1904463,23690,6
1904463,23691,7
1904463,25003,5
1904463,25773,9
1904463,25775,1
1904463,25777,10
1904466,22180,3
1904466,23721,2
1904466,24909,1
1904469,16669,15
1904469,18392,9
1904469,18493,13
1904469,19375,12
1904469,20269,17
1904469,22050,1
1904469,22054,5
1904469,22063,11
1904469,23011,2
1904469,23561,8
1904469,23566,16
1904469,23617,3
1904469,23690,4
1904469,23693,6
1904469,25771,7
1904469,25776,10
1904469,25780,14
1904471,25003,2
1904471,25773,3
1904471,25775,1
1904471,25777,4
1904475,1141,12
1904475,1191,28
1904475,1207,30
1904475,11085,22
1904475,14422,1
1904475,16640,7
1904475,16667,18
1904475,17926,14
1904475,18432,16
1904475,20269,34
1904475,20474,25
1904475,20477,2
1904475,20556,23
1904475,21423,3
1904475,21616,32
1904475,22051,4
1904475,22052,6
1904475,22054,10
1904475,22056,13
1904475,22057,15
1904475,22059,21
1904475,22062,24
1904475,22069,31
1904475,23011,29
1904475,23566,33
1904475,23625,5
1904475,23689,8
1904475,23690,9
1904475,23692,11
1904475,25771,17
1904475,25772,19
1904475,25774,20
1904475,25777,26
1904475,25779,27
1904479,20486,2
1904479,21423,1
1904479,23618,3
1904479,23690,4
1904479,25770,5
1904479,25777,6
1904482,22052,2
1904482,22053,3
1904482,22064,4
1904482,25779,1
1904485,16111,1
1904490,18251,4
1904490,20557,1
1904490,22053,3
1904490,22061,5
1904490,22064,7
1904490,23622,6
1904490,23692,2
1904490,25779,8
1904493,1179,37
1904493,1191,2
1904493,1207,45
1904493,11085,26
1904493,14422,33
1904493,16110,34
1904493,16667,19
1904493,17926,12
1904493,18251,21
1904493,18392,25
1904493,18427,42
1904493,18432,16
1904493,18489,1
1904493,18493,39
1904493,18494,14
1904493,19375,36
1904493,20387,27
1904493,20389,15
1904493,20474,31
1904493,20477,17
1904493,20485,8
1904493,20489,23
1904493,20555,5
1904493,21423,3
1904493,21424,22
1904493,22051,6
1904493,22052,7
1904493,22058,13
1904493,22061,28
1904493,22062,30
1904493,22063,32
1904493,22066,41
1904493,23011,44
1904493,23561,24
1904493,23566,47
1904493,23617,4
1904493,23626,11
1904493,23689,9
1904493,23691,10
1904493,23695,35
1904493,25771,18
1904493,25772,20
1904493,25776,29
1904493,25778,38
1904493,25779,40
1904493,25780,43
1904493,25782,46
1904496,16111,1
1904498,23626,1
1904501,16111,1
1904506,18427,14
1904506,18428,9
1904506,18432,6
1904506,20483,13
1904506,20557,8
1904506,21616,16
1904506,22050,3
1904506,22053,1
1904506,22064,11
1904506,23011,15
1904506,23619,2
1904506,23620,7
