bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1895180,3031275,text,65621,text/html,Introduced,https://legiscan.com/SC/text/H3009/id/3031275,https://www.scstatehouse.gov/sess126_2025-2026/prever/3009_20241205.htm
1895208,3031303,text,63659,text/html,Introduced,https://legiscan.com/SC/text/H3010/id/3031303,https://www.scstatehouse.gov/sess126_2025-2026/prever/3010_20241205.htm
1895350,3031444,text,24321,text/html,Introduced,https://legiscan.com/SC/text/H3011/id/3031444,https://www.scstatehouse.gov/sess126_2025-2026/prever/3011_20241205.htm
1895452,3031548,text,18061,text/html,Introduced,https://legiscan.com/SC/text/H3012/id/3031548,https://www.scstatehouse.gov/sess126_2025-2026/prever/3012_20241205.htm
1895216,3031311,text,8551,text/html,Introduced,https://legiscan.com/SC/text/H3013/id/3031311,https://www.scstatehouse.gov/sess126_2025-2026/prever/3013_20241205.htm
1895445,3031541,text,6950,text/html,Introduced,https://legiscan.com/SC/text/H3014/id/3031541,https://www.scstatehouse.gov/sess126_2025-2026/prever/3014_20241205.htm
1895447,3031543,text,8510,text/html,Introduced,https://legiscan.com/SC/text/H3015/id/3031543,https://www.scstatehouse.gov/sess126_2025-2026/prever/3015_20241205.htm
1895461,3031558,text,8010,text/html,Introduced,https://legiscan.com/SC/text/H3016/id/3031558,https://www.scstatehouse.gov/sess126_2025-2026/prever/3016_20241205.htm
1895547,3031644,text,5407,text/html,Introduced,https://legiscan.com/SC/text/H3017/id/3031644,https://www.scstatehouse.gov/sess126_2025-2026/prever/3017_20241205.htm
1895149,3031242,text,13784,text/html,Introduced,https://legiscan.com/SC/text/H3018/id/3031242,https://www.scstatehouse.gov/sess126_2025-2026/prever/3018_20241205.htm
1895526,3031623,text,105157,text/html,Introduced,https://legiscan.com/SC/text/H3019/id/3031623,https://www.scstatehouse.gov/sess126_2025-2026/prever/3019_20241205.htm
1895170,3031264,text,7227,text/html,Introduced,https://legiscan.com/SC/text/H3020/id/3031264,https://www.scstatehouse.gov/sess126_2025-2026/prever/3020_20241205.htm
1895170,3106160,text,15689,text/html,"Comm Sub",https://legiscan.com/SC/text/H3020/id/3106160,https://www.scstatehouse.gov/sess126_2025-2026/prever/3020_20250206.htm
1895472,3031569,text,50517,text/html,Introduced,https://legiscan.com/SC/text/H3021/id/3031569,https://www.scstatehouse.gov/sess126_2025-2026/prever/3021_20241205.htm
1895472,3154942,text,58328,text/html,Amended,https://legiscan.com/SC/text/H3021/id/3154942,https://www.scstatehouse.gov/sess126_2025-2026/prever/3021_20250305.htm
1895472,3157022,text,57314,text/html,Amended,https://legiscan.com/SC/text/H3021/id/3157022,https://www.scstatehouse.gov/sess126_2025-2026/prever/3021_20250306.htm
1895472,3144214,text,132321,text/html,"Comm Sub",https://legiscan.com/SC/text/H3021/id/3144214,https://www.scstatehouse.gov/sess126_2025-2026/prever/3021_20250226.htm
1895472,3146453,text,131956,text/html,"Comm Sub",https://legiscan.com/SC/text/H3021/id/3146453,https://www.scstatehouse.gov/sess126_2025-2026/prever/3021_20250227.htm
1895610,3031707,text,12449,text/html,Introduced,https://legiscan.com/SC/text/H3022/id/3031707,https://www.scstatehouse.gov/sess126_2025-2026/prever/3022_20241205.htm
1895610,3119991,text,16862,text/html,Amended,https://legiscan.com/SC/text/H3022/id/3119991,https://www.scstatehouse.gov/sess126_2025-2026/prever/3022_20250213.htm
1895610,3117349,text,24378,text/html,"Comm Sub",https://legiscan.com/SC/text/H3022/id/3117349,https://www.scstatehouse.gov/sess126_2025-2026/prever/3022_20250212.htm
1895420,3031516,text,6127,text/html,Introduced,https://legiscan.com/SC/text/H3023/id/3031516,https://www.scstatehouse.gov/sess126_2025-2026/prever/3023_20241205.htm
1895387,3031483,text,7006,text/html,Introduced,https://legiscan.com/SC/text/H3024/id/3031483,https://www.scstatehouse.gov/sess126_2025-2026/prever/3024_20241205.htm
1895602,3031699,text,8025,text/html,Introduced,https://legiscan.com/SC/text/H3025/id/3031699,https://www.scstatehouse.gov/sess126_2025-2026/prever/3025_20241205.htm
1895261,3031355,text,6858,text/html,Introduced,https://legiscan.com/SC/text/H3026/id/3031355,https://www.scstatehouse.gov/sess126_2025-2026/prever/3026_20241205.htm
1895156,3031249,text,7654,text/html,Introduced,https://legiscan.com/SC/text/H3027/id/3031249,https://www.scstatehouse.gov/sess126_2025-2026/prever/3027_20241205.htm
1895324,3031418,text,10602,text/html,Introduced,https://legiscan.com/SC/text/H3028/id/3031418,https://www.scstatehouse.gov/sess126_2025-2026/prever/3028_20241205.htm
1895131,3031224,text,5847,text/html,Introduced,https://legiscan.com/SC/text/H3029/id/3031224,https://www.scstatehouse.gov/sess126_2025-2026/prever/3029_20241205.htm
1895202,3031297,text,12353,text/html,Introduced,https://legiscan.com/SC/text/H3031/id/3031297,https://www.scstatehouse.gov/sess126_2025-2026/prever/3031_20241205.htm
1895669,3031766,text,19961,text/html,Introduced,https://legiscan.com/SC/text/H3032/id/3031766,https://www.scstatehouse.gov/sess126_2025-2026/prever/3032_20241205.htm
1895546,3031643,text,15318,text/html,Introduced,https://legiscan.com/SC/text/H3033/id/3031643,https://www.scstatehouse.gov/sess126_2025-2026/prever/3033_20241205.htm
1895173,3031267,text,11762,text/html,Introduced,https://legiscan.com/SC/text/H3034/id/3031267,https://www.scstatehouse.gov/sess126_2025-2026/prever/3034_20241205.htm
1895274,3031368,text,7143,text/html,Introduced,https://legiscan.com/SC/text/H3035/id/3031368,https://www.scstatehouse.gov/sess126_2025-2026/prever/3035_20241205.htm
1895138,3031231,text,21805,text/html,Introduced,https://legiscan.com/SC/text/H3036/id/3031231,https://www.scstatehouse.gov/sess126_2025-2026/prever/3036_20241205.htm
1895254,3031348,text,7266,text/html,Introduced,https://legiscan.com/SC/text/H3037/id/3031348,https://www.scstatehouse.gov/sess126_2025-2026/prever/3037_20241205.htm
