bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1895129,1489416,2025-02-13,House,"House: Passage Of Bill",104,0,9,9,122
1895137,1492441,2025-02-18,House,"House: Table Amendment 2 Amendment Number 2",70,27,20,5,122
1895137,1492442,2025-02-18,House,"House: Passage Of Bill",109,0,8,5,122
1895157,1568544,2025-05-08,Senate,"Senate: Rule 15 Waive 2 Hour Time Limit",32,12,0,1,45
1895165,1533407,2025-04-01,House,"House: Passage Of Bill",96,19,6,2,123
1895170,1487866,2025-02-12,House,"House: Passage Of Bill",105,0,8,9,122
1895181,1562475,2025-04-30,House,"House: Passage Of Bill",107,9,4,3,123
1895182,1493232,2025-02-19,House,"House: Table Amendment 2 Amendment Number 2",91,15,8,8,122
1895182,1493233,2025-02-19,House,"House: Table Amendment 3 Amendment Number 3",72,30,12,8,122
1895182,1493234,2025-02-19,House,"House: Passage Of Bill",90,17,6,9,122
1895182,1494795,2025-02-20,House,"House: Passage Of Bill",89,14,8,11,122
1895182,1563869,2025-05-01,Senate,"Senate: 2nd Reading",39,0,0,4,43
1895182,1566255,2025-05-06,Senate,"Senate: 3rd Reading",45,0,0,0,45
1895211,1488819,2025-02-13,House,"House: Passage Of Bill",106,0,7,9,122
1895211,1505562,2025-03-04,Senate,"Senate: 2nd Reading",42,0,0,4,46
1895211,1527157,2025-03-25,House,"House: Concur In Senate Amendments",112,0,6,4,122
1895222,1501669,2025-02-27,House,"House: Passage Of Bill",110,2,7,3,122
1895228,1487414,2025-02-12,House,"House: Passage Of Bill",107,1,5,9,122
1895244,1526173,2025-03-25,House,"House: Passage Of Bill",112,0,6,4,122
1895258,1567853,2025-05-07,Senate,"Senate: To Take Up The Order Of The Day",32,11,0,1,44
1895258,1567854,2025-05-07,Senate,"Senate: To Lay On The Table Amendment Number 1",43,2,0,0,45
1895258,1567855,2025-05-07,Senate,"Senate: To Adopt The Resolution",29,14,0,1,44
1895260,1533408,2025-04-01,House,"House: Passage Of Bill",113,0,8,2,123
1895268,1488277,2025-02-12,House,"House: Passage Of Bill",106,0,7,9,122
1895268,1520708,2025-03-18,Senate,"Senate: 2nd Reading",44,0,0,2,46
1895270,1541781,2025-04-09,House,"House: Table Amendment 3 Amendment Number 3",84,27,6,6,123
1895270,1541782,2025-04-09,House,"House: Table Amendment 4 Amendment Number 4",79,25,13,6,123
1895270,1541783,2025-04-09,House,"House: Passage Of Bill",98,10,9,6,123
1895270,1563601,2025-05-01,Senate,"Senate: 3rd Reading",35,5,0,4,44
1895270,1567339,2025-05-07,House,"House: Adopt Amendment 3a Amendment Number 3a",95,14,11,3,123
1895295,1507303,2025-03-06,House,"House: Waive Rule 5.15 Printing",109,0,9,4,122
1895295,1507304,2025-03-06,House,"House: Table Amendment 2 Amendment Number 2",107,1,10,4,122
1895295,1507305,2025-03-06,House,"House: Passage Of Bill",109,0,9,4,122
1895295,1548438,2025-04-15,Senate,"Senate: 2nd Reading",35,5,1,3,44
1895296,1562339,2025-04-30,House,"House: Passage Of Bill",110,0,12,1,123
1895310,1501108,2025-02-27,House,"House: Passage Of Bill",113,0,5,4,122
1895312,1563415,2025-05-01,House,"House: Passage Of Bill",114,0,7,2,123
1895316,1489348,2025-02-13,House,"House: Passage Of Bill",101,0,12,9,122
1895316,1499496,2025-02-25,Senate,"Senate: 2nd Reading",43,0,0,3,46
1895316,1501609,2025-02-27,House,"House: Concur In Senate Amendments",107,0,11,4,122
1895334,1489057,2025-02-13,House,"House: Passage Of Bill",98,1,14,9,122
1895334,1567841,2025-05-07,Senate,"Senate: 3rd Reading",42,1,0,1,44
1895334,1568366,2025-05-08,House,"House: Concur In Senate Amendments",105,6,8,4,123
1895342,1489332,2025-02-13,House,"House: Passage Of Bill",98,0,15,9,122
1895342,1560861,2025-04-24,Senate,"Senate: 2nd Reading",39,0,0,6,45
1895343,1563736,2025-05-01,House,"House: Passage Of Bill",111,0,7,5,123
1895351,1553857,2025-04-22,House,"House: Passage Of Bill",111,0,8,4,123
1895353,1544054,2025-04-10,House,"House: Passage Of Bill",97,0,15,11,123
1895367,1535846,2025-04-03,House,"House: Passage Of Bill",109,0,10,4,123
1895369,1553553,2025-04-22,House,"House: Passage Of Bill",100,3,16,4,123
1895374,1534425,2025-04-02,House,"House: Adjourn For The Day",27,77,14,5,123
1895374,1535152,2025-04-02,House,"House: Recommit",39,68,11,5,123
1895374,1535153,2025-04-02,House,"House: Adjourn For The Day",29,74,15,5,123
1895374,1535154,2025-04-02,House,"House: Recede For The Day",26,74,17,6,123
1895374,1535155,2025-04-02,House,"House: Recede Until 8:00 P.m.",20,80,18,5,123
1895374,1535156,2025-04-02,House,"House: Passage Of Bill",76,20,20,7,123
1895374,1536027,2025-04-03,House,"House: Passage Of Bill",91,7,20,5,123
1895400,1565754,2025-05-06,House,"House: Passage Of Bill",101,7,13,2,123
1895402,1488786,2025-02-13,House,"House: Passage Of Bill",103,0,10,9,122
1895402,1566832,2025-05-06,Senate,"Senate: 2nd Reading",44,0,0,0,44
1895402,1567993,2025-05-07,Senate,"Senate: 3rd Reading",43,0,0,1,44
1895406,1541546,2025-04-09,House,"House: Passage Of Bill",80,16,21,6,123
1895406,1560586,2025-04-29,Senate,"Senate: 2nd Reading",42,0,0,3,45
1895444,1563744,2025-05-01,House,"House: Passage Of Bill",113,0,6,4,123
1895455,1487839,2025-02-12,House,"House: Passage Of Bill",107,0,6,9,122
1895455,1560841,2025-04-29,Senate,"Senate: 2nd Reading",42,0,0,3,45
1895472,1506061,2025-03-05,House,"House: Table Amendment 5 Amendment Number 5",90,18,9,5,122
1895472,1506062,2025-03-05,House,"House: Passage Of Bill",111,0,6,5,122
1895472,1507428,2025-03-06,House,"House: Passage Of Bill",108,0,10,4,122
1895491,1533409,2025-04-01,House,"House: Passage Of Bill",114,0,7,2,123
1895499,1487802,2025-02-12,House,"House: Passage Of Bill",94,11,8,9,122
1895499,1533125,2025-04-01,Senate,"Senate: To Lay On The Table Amendment Number 2",13,29,0,3,45
1895499,1535408,2025-04-02,Senate,"Senate: To Lay On The Table Amendment Number 20b",32,11,0,2,45
1895499,1535409,2025-04-02,Senate,"Senate: 2nd Reading",41,3,0,2,46
1895499,1535668,2025-04-03,Senate,"Senate: 3rd Reading",38,3,0,5,46
1895499,1563881,2025-05-01,House,"House: Adopt Amendment 1a Amendment Number 1a",88,13,15,7,123
1895499,1566308,2025-05-06,Senate,"Senate: Rule 32a Waive Printing",44,1,0,0,45
1895499,1567664,2025-05-07,Senate,"Senate: To Concur",35,11,0,0,46
1895525,1540377,2025-04-08,House,"House: Passage Of Bill",98,0,16,9,123
1895538,1493216,2025-02-19,House,"House: Passage Of Bill",105,0,10,7,122
1895538,1532593,2025-04-01,Senate,"Senate: 2nd Reading",45,0,0,0,45
1895538,1567948,2025-05-07,Senate,"Senate: To Concur",41,1,1,1,44
1895556,1528400,2025-03-26,House,"House: Passage Of Bill",91,15,12,4,122
1895563,1499164,2025-02-25,House,"House: Passage Of Bill",115,0,5,2,122
