bill_id,people_id,position
1895120,2320,1
1895121,2295,1
1895122,19645,1
1895123,11216,2
1895123,23301,1
1895124,2235,5
1895124,2241,4
1895124,11219,2
1895124,16321,6
1895124,23300,1
1895124,25192,3
1895125,2226,4
1895125,2308,1
1895125,23309,3
1895125,25192,2
1895126,19930,1
1895126,26250,2
1895127,21741,1
1895128,21745,1
1895128,25192,2
1895129,2235,2
1895129,14301,1
1895129,16321,3
1895130,16323,1
1895130,24188,2
1895131,2295,1
1895131,23308,2
1895132,2280,1
1895132,11219,2
1895133,11216,4
1895133,11219,2
1895133,18091,3
1895133,23298,1
1895133,26245,5
1895133,26247,6
1895134,11219,1
1895134,14301,7
1895134,18092,6
1895134,19645,4
1895134,19930,2
1895134,23302,3
1895134,24188,5
1895134,26247,9
1895134,26259,8
1895135,19933,1
1895135,25192,2
1895136,17959,1
1895136,18092,5
1895136,23303,2
1895136,23392,3
1895136,24188,4
1895137,2248,11
1895137,2316,15
1895137,2320,12
1895137,14298,14
1895137,16329,6
1895137,16332,9
1895137,17959,2
1895137,19930,1
1895137,21741,8
1895137,21747,3
1895137,23303,10
1895137,23376,4
1895137,23392,5
1895137,24305,7
1895137,26254,13
1895138,2226,3
1895138,19929,1
1895138,23301,4
1895138,26250,2
1895139,2226,4
1895139,11219,2
1895139,23307,1
1895139,25192,3
1895140,2226,3
1895140,16323,1
1895140,26250,2
1895141,2240,1
1895141,26250,2
1895142,21745,1
1895142,24188,2
1895143,19933,1
1895143,24188,2
1895144,10954,5
1895144,14033,7
1895144,16332,1
1895144,18089,6
1895144,23302,2
1895144,23303,3
1895144,24188,4
1895145,16332,1
1895145,23303,2
1895146,23300,1
1895147,2226,3
1895147,19933,1
1895147,26250,2
1895148,2295,1
1895149,2295,1
1895149,25192,2
1895149,26250,3
1895150,11219,2
1895150,18089,6
1895150,18654,1
1895150,19645,4
1895150,19930,3
1895150,24188,5
1895150,24306,7
1895151,11216,2
1895151,23300,1
1895152,2226,3
1895152,23307,1
1895152,25192,2
1895153,16323,1
1895154,19645,1
1895155,11219,2
1895155,23300,1
1895156,16329,3
1895156,21747,1
1895156,24303,2
1895157,2302,1
1895157,2321,12
1895157,10949,7
1895157,10954,3
1895157,11219,5
1895157,14301,2
1895157,16332,10
1895157,18094,4
1895157,19932,11
1895157,23150,8
1895157,23303,9
1895157,24188,6
1895158,21744,1
1895159,10949,1
1895160,14301,2
1895160,21745,1
1895160,26250,3
1895161,10954,4
1895161,11219,3
1895161,18094,1
1895161,21669,2
1895162,2240,1
1895163,14300,7
1895163,16328,1
1895163,18092,3
1895163,18214,5
1895163,24303,6
1895163,25192,2
1895163,26250,4
1895164,2264,1
1895164,23301,2
1895165,2235,33
1895165,2241,18
1895165,10949,27
1895165,10954,32
1895165,11219,4
1895165,14298,28
1895165,14301,8
1895165,15975,15
1895165,16321,34
1895165,16332,22
1895165,17959,31
1895165,18089,21
1895165,18092,7
1895165,18094,26
1895165,18214,12
1895165,18654,20
1895165,19645,3
1895165,20399,29
1895165,21398,13
1895165,21747,30
1895165,22359,1
1895165,23299,23
1895165,23300,17
1895165,23302,2
1895165,23303,10
1895165,23373,14
1895165,23376,9
1895165,23392,5
1895165,24306,25
1895165,25192,6
1895165,26247,16
1895165,26249,24
1895165,26261,19
