bill_id,date,chamber,sequence,action
1916627,2025-01-13,House,1,"House Hopper"
1916627,2025-01-14,House,2,"House First Readers"
1916627,2025-01-15,House,3,"House Second Readers"
1916627,2025-03-06,House,4,"House Committee Favorably Reported By Substitute"
1916627,2025-03-06,House,5,"House Third Readers"
1916627,2025-03-06,House,6,"House Passed/Adopted By Substitute"
1916627,2025-03-10,Senate,7,"Senate Read and Referred"
1916627,2025-03-27,Senate,8,"Senate Committee Favorably Reported By Substitute"
1916627,2025-03-27,Senate,9,"Senate Read Second Time"
1916627,2025-03-31,Senate,10,"Senate Tabled"
1916627,2025-03-31,Senate,11,"Senate Taken from Table"
1916627,2025-03-31,Senate,12,"Senate Third Read"
1916627,2025-03-31,Senate,13,"Senate Passed/Adopted By Substitute"
1916627,2025-04-04,House,14,"House Agreed Senate Amend or Sub As Amended"
1916627,2025-04-04,Senate,15,"Senate Agreed House Amend or Sub"
1916627,2025-04-10,House,16,"House Sent to Governor"
1916631,2025-01-13,House,1,"House Hopper"
1916631,2025-01-14,House,2,"House First Readers"
1916631,2025-01-15,House,3,"House Second Readers"
1916635,2025-01-13,Senate,1,"Senate Hopper"
1916635,2025-01-14,Senate,2,"Senate Read and Referred"
1916635,2025-01-16,Senate,3,"Senate Committee Favorably Reported"
1916635,2025-01-17,Senate,4,"Senate Read Second Time"
1916635,2025-02-03,Senate,5,"Senate Third Read"
1916635,2025-02-03,Senate,6,"Senate Passed/Adopted"
1916635,2025-02-03,Senate,7,"Senate Transmitted House"
1916635,2025-02-04,House,8,"House First Readers"
1916635,2025-02-05,House,9,"House Second Readers"
1916635,2025-02-21,House,10,"House Committee Favorably Reported By Substitute"
1916635,2025-02-24,House,11,"House Third Readers"
1916635,2025-02-24,House,12,"House Passed/Adopted By Substitute"
1916635,2025-03-31,Senate,13,"Senate Agreed House Amend or Sub"
1916635,2025-04-07,Senate,14,"Senate Sent to Governor"
1916640,2025-01-13,Senate,1,"Senate Hopper"
1916640,2025-01-13,Senate,2,"Senate Read and Adopted"
1916644,2025-01-13,Senate,1,"Senate Hopper"
1916644,2025-01-14,Senate,2,"Senate Read and Adopted"
1916648,2025-01-13,House,1,"House Hopper"
1916648,2025-01-14,House,2,"House First Readers"
1916648,2025-01-15,House,3,"House Second Readers"
1916648,2025-02-05,House,4,"House Committee Favorably Reported"
1916648,2025-02-05,House,5,"House Third Readers"
1916648,2025-02-05,House,6,"House Passed/Adopted"
1916648,2025-02-06,Senate,7,"Senate Read and Referred"
1916648,2025-02-12,Senate,8,"Senate Committee Favorably Reported"
1916648,2025-02-12,Senate,9,"Senate Passed/Adopted"
1916648,2025-04-07,House,10,"House Sent to Governor"
1916654,2025-01-13,House,1,"House Hopper"
1916654,2025-01-14,House,2,"House First Readers"
1916654,2025-01-15,House,3,"House Second Readers"
1916658,2025-01-13,Senate,1,"Senate Hopper"
1916658,2025-01-14,Senate,2,"Senate Read and Referred"
1916663,2025-01-13,House,1,"House Hopper"
1916663,2025-01-14,House,2,"House First Readers"
1916663,2025-01-15,House,3,"House Second Readers"
1916663,2025-03-03,House,4,"House Committee Favorably Reported By Substitute"
1916663,2025-04-04,House,5,"House Withdrawn, Recommitted"
1916667,2025-01-13,House,1,"House Hopper"
1916667,2025-01-14,House,2,"House First Readers"
1916667,2025-01-15,House,3,"House Second Readers"
1916671,2025-01-13,Senate,1,"Senate Hopper"
1916671,2025-01-14,Senate,2,"Senate Read and Referred"
1916671,2025-02-06,Senate,3,"Senate Committee Favorably Reported"
1916671,2025-02-10,Senate,4,"Senate Read Second Time"
1916676,2025-01-09,House,1,"House Hopper"
1916676,2025-01-13,House,2,"House First Readers"
1916676,2025-01-13,House,3,"House Read and Adopted"
1916676,2025-01-14,Senate,4,"Senate Read and Adopted"
1916676,2025-01-14,Senate,5,"Senate Transmitted House"
1916681,2025-01-13,House,1,"House Hopper"
1916681,2025-01-14,House,2,"House First Readers"
1916681,2025-01-15,House,3,"House Second Readers"
1916686,2025-01-13,House,1,"House Hopper"
1916686,2025-01-14,House,2,"House First Readers"
1916686,2025-01-15,House,3,"House Second Readers"
1916686,2025-02-05,House,4,"House Committee Favorably Reported"
1916686,2025-02-05,House,5,"House Third Readers"
1916686,2025-02-05,House,6,"House Passed/Adopted"
1916686,2025-02-06,Senate,7,"Senate Read and Referred"
1916686,2025-02-12,Senate,8,"Senate Committee Favorably Reported"
1916686,2025-02-12,Senate,9,"Senate Passed/Adopted"
1916686,2025-04-07,House,10,"House Sent to Governor"
1916686,2025-04-30,House,11,"House Date Signed by Governor"
1916686,2025-04-30,,12,"Act 29"
1916690,2025-01-13,Senate,1,"Senate Hopper"
1916690,2025-01-14,Senate,2,"Senate Read and Referred"
1916690,2025-02-21,Senate,3,"Senate Committee Favorably Reported By Substitute"
1916690,2025-02-24,Senate,4,"Senate Read Second Time"
1916690,2025-03-04,Senate,5,"Senate Third Read"
1916690,2025-03-04,Senate,6,"Senate Passed/Adopted By Substitute"
1916690,2025-03-04,Senate,7,"Senate Notice to Reconsider"
1916690,2025-03-10,House,8,"House First Readers"
1916690,2025-03-11,House,9,"House Second Readers"
1916694,2025-01-13,House,1,"House Hopper"
1916694,2025-01-14,House,2,"House First Readers"
1916694,2025-01-15,House,3,"House Second Readers"
1916699,2025-01-13,House,1,"House Hopper"
1916699,2025-01-14,House,2,"House First Readers"
1916699,2025-01-15,House,3,"House Second Readers"
1916703,2025-01-13,House,1,"House Hopper"
1916703,2025-01-14,House,2,"House First Readers"
1916703,2025-01-15,House,3,"House Second Readers"
1916709,2025-01-13,House,1,"House Hopper"
1916709,2025-01-13,House,2,"House First Readers"
1916709,2025-01-13,House,3,"House Read and Adopted"
1916713,2025-01-13,House,1,"House Hopper"
1916713,2025-01-14,House,2,"House First Readers"
1916713,2025-01-15,House,3,"House Second Readers"
1916713,2025-02-20,House,4,"House Committee Favorably Reported"
1916713,2025-02-26,House,5,"House Third Readers"
1916713,2025-02-26,House,6,"House Passed/Adopted"
1916713,2025-02-27,Senate,7,"Senate Read and Referred"
1916713,2025-03-27,Senate,8,"Senate Committee Favorably Reported By Substitute"
1916713,2025-03-27,Senate,9,"Senate Read Second Time"
1916713,2025-03-28,Senate,10,"Senate Recommitted"
1916713,2025-03-31,Senate,11,"Senate Committee Favorably Reported By Substitute"
1916713,2025-04-02,Senate,12,"Senate Third Read"
1916713,2025-04-02,Senate,13,"Senate Passed/Adopted By Substitute"
1916717,2025-01-13,House,1,"House Hopper"
1916717,2025-01-14,House,2,"House First Readers"
1916717,2025-01-15,House,3,"House Second Readers"
1916722,2025-01-13,House,1,"House Hopper"
1916722,2025-01-14,House,2,"House First Readers"
1916722,2025-01-15,House,3,"House Second Readers"
1916726,2025-01-09,House,1,"House Hopper"
1916726,2025-01-13,House,2,"House First Readers"
1916726,2025-01-13,House,3,"House Read and Adopted"
1916730,2025-01-13,House,1,"House Hopper"
1916730,2025-01-14,House,2,"House First Readers"
1916730,2025-01-15,House,3,"House Second Readers"
1916730,2025-02-05,House,4,"House Committee Favorably Reported"
1916730,2025-02-05,House,5,"House Third Readers"
1916730,2025-02-05,House,6,"House Passed/Adopted"
1916730,2025-02-06,Senate,7,"Senate Read and Referred"
1916730,2025-02-12,Senate,8,"Senate Committee Favorably Reported"
1916730,2025-02-12,Senate,9,"Senate Passed/Adopted"
1916730,2025-04-07,House,10,"House Sent to Governor"
1916736,2025-01-13,House,1,"House Hopper"
1916736,2025-01-14,House,2,"House First Readers"
1916736,2025-01-15,House,3,"House Second Readers"
1916740,2025-01-13,House,1,"House Hopper"
1916740,2025-01-14,House,2,"House First Readers"
1916740,2025-01-15,House,3,"House Second Readers"
1916745,2025-01-13,House,1,"House Hopper"
1916745,2025-01-14,House,2,"House First Readers"
1916745,2025-01-15,House,3,"House Second Readers"
1916749,2025-01-13,Senate,1,"Senate Hopper"
1916749,2025-01-13,Senate,2,"Senate Passed/Adopted"
1916749,2025-01-13,Senate,3,"Senate Transmitted House"
1916749,2025-01-13,House,4,"House First Readers"
1916749,2025-01-13,House,5,"House Read and Adopted"
1916753,2025-01-13,Senate,1,"Senate Hopper"
1916753,2025-01-14,Senate,2,"Senate Read and Referred"
1916753,2025-01-30,Senate,3,"Senate Committee Favorably Reported"
1916753,2025-02-03,Senate,4,"Senate Read Second Time"
1916753,2025-02-12,Senate,5,"Senate Third Read"
1916753,2025-02-12,Senate,6,"Senate Passed/Adopted"
1916753,2025-02-13,House,7,"House First Readers"
1916753,2025-02-18,House,8,"House Second Readers"
1916753,2025-02-26,House,9,"House Committee Favorably Reported"
1916753,2025-03-27,House,10,"House Withdrawn, Recommitted"
1916753,2025-03-31,House,11,"House Committee Favorably Reported By Substitute"
1916753,2025-04-02,House,12,"House Third Readers"
1916753,2025-04-02,House,13,"House Passed/Adopted By Substitute"
1916753,2025-04-04,Senate,14,"Senate Agreed House Amend or Sub"
1916753,2025-04-10,Senate,15,"Senate Sent to Governor"
1916758,2025-01-13,House,1,"House Hopper"
1916758,2025-01-14,House,2,"House First Readers"
1916758,2025-01-15,House,3,"House Second Readers"
1916763,2025-01-09,House,1,"House Hopper"
1916763,2025-01-13,House,2,"House First Readers"
1916763,2025-01-13,House,3,"House Read and Adopted"
1916768,2025-01-13,House,1,"House Hopper"
1916768,2025-01-14,House,2,"House First Readers"
1916768,2025-01-15,House,3,"House Second Readers"
1916768,2025-02-11,House,4,"House Withdrawn Bill/Res Consideration"
1916772,2025-01-13,Senate,1,"Senate Hopper"
1916772,2025-01-13,Senate,2,"Senate Read and Referred"
1916772,2025-01-13,Senate,3,"Senate Engrossed"
1916772,2025-01-13,Senate,4,"Senate Passed/Adopted"
1916776,2025-01-13,House,1,"House Hopper"
1916776,2025-01-14,House,2,"House First Readers"
1916776,2025-01-15,House,3,"House Second Readers"
1916776,2025-03-04,House,4,"House Committee Favorably Reported By Substitute"
1916776,2025-03-04,House,5,"House Third Readers"
1916776,2025-03-04,House,6,"House Passed/Adopted By Substitute"
1916776,2025-03-06,Senate,7,"Senate Read and Referred"
1916776,2025-03-13,Senate,8,"Senate Committee Favorably Reported"
1916776,2025-03-13,Senate,9,"Senate Passed/Adopted"
1916776,2025-04-07,House,10,"House Sent to Governor"
1916781,2025-01-13,House,1,"House Hopper"
1916781,2025-01-14,House,2,"House First Readers"
1916781,2025-01-15,House,3,"House Second Readers"
1916785,2025-01-13,House,1,"House Hopper"
1916785,2025-01-14,House,2,"House First Readers"
1916785,2025-01-15,House,3,"House Second Readers"
1916785,2025-02-05,House,4,"House Committee Favorably Reported"
1916785,2025-02-05,House,5,"House Third Readers"
1916785,2025-02-05,House,6,"House Passed/Adopted"
1916785,2025-02-06,Senate,7,"Senate Read and Referred"
1916785,2025-02-12,Senate,8,"Senate Committee Favorably Reported"
1916785,2025-02-12,Senate,9,"Senate Passed/Adopted"
1916785,2025-04-07,House,10,"House Sent to Governor"
1916791,2025-01-13,House,1,"House Hopper"
1916791,2025-01-13,House,2,"House First Readers"
1916791,2025-01-13,House,3,"House Read and Adopted"
1916795,2025-01-13,House,1,"House Hopper"
1916795,2025-01-14,House,2,"House First Readers"
1916795,2025-01-15,House,3,"House Second Readers"
1916795,2025-02-11,House,4,"House Withdrawn Bill/Res Consideration"
1916799,2025-01-13,House,1,"House Hopper"
1916799,2025-01-14,House,2,"House First Readers"
1916799,2025-01-15,House,3,"House Second Readers"
1916799,2025-02-11,House,4,"House Withdrawn Bill/Res Consideration"
1916804,2025-01-13,House,1,"House Hopper"
1916804,2025-01-14,House,2,"House First Readers"
1916804,2025-01-15,House,3,"House Second Readers"
1916808,2025-01-13,Senate,1,"Senate Hopper"
1916808,2025-01-14,Senate,2,"Senate Read and Referred"
1916808,2025-02-27,Senate,3,"Senate Committee Favorably Reported By Substitute"
1916808,2025-02-28,Senate,4,"Senate Read Second Time"
1916808,2025-03-04,Senate,5,"Senate Third Read"
1916808,2025-03-04,Senate,6,"Senate Passed/Adopted By Substitute"
1916808,2025-03-06,House,7,"House First Readers"
1916808,2025-03-10,House,8,"House Second Readers"
1916808,2025-04-02,House,9,"House Committee Favorably Reported By Substitute"
1916808,2025-04-02,House,10,"House Third Readers"
1916808,2025-04-02,House,11,"House Passed/Adopted By Substitute"
1916808,2025-04-04,Senate,12,"Senate Agreed House Amend or Sub"
1916808,2025-04-10,Senate,13,"Senate Sent to Governor"
1916814,2025-01-13,House,1,"House Hopper"
1916814,2025-01-14,House,2,"House First Readers"
1916814,2025-01-15,House,3,"House Second Readers"
1916814,2025-02-05,House,4,"House Committee Favorably Reported"
1916814,2025-02-05,House,5,"House Third Readers"
1916814,2025-02-05,House,6,"House Passed/Adopted"
1916814,2025-02-06,Senate,7,"Senate Read and Referred"
1916814,2025-02-12,Senate,8,"Senate Committee Favorably Reported"
1916814,2025-02-12,Senate,9,"Senate Passed/Adopted"
1916814,2025-04-07,House,10,"House Sent to Governor"
1916814,2025-04-30,House,11,"House Date Signed by Governor"
1916814,2025-04-30,,12,"Act 30"
1916818,2025-01-13,House,1,"House Hopper"
1916818,2025-01-14,House,2,"House First Readers"
1916818,2025-01-15,House,3,"House Second Readers"
1916818,2025-02-11,House,4,"House Withdrawn Bill/Res Consideration"
1916822,2025-01-13,House,1,"House Hopper"
1916822,2025-01-14,House,2,"House First Readers"
1916822,2025-01-15,House,3,"House Second Readers"
1916827,2025-01-13,Senate,1,"Senate Hopper"
1916827,2025-01-13,Senate,2,"Senate Engrossed"
1916827,2025-01-13,Senate,3,"Senate Read and Referred"
1916827,2025-01-13,Senate,4,"Senate Passed/Adopted"
1916831,2025-01-13,Senate,1,"Senate Hopper"
1916831,2025-01-13,Senate,2,"Senate Read and Referred"
1916831,2025-01-13,Senate,3,"Senate Engrossed"
1916831,2025-01-13,Senate,4,"Senate Passed/Adopted"
1916835,2025-01-13,Senate,1,"Senate Hopper"
1916835,2025-01-14,Senate,2,"Senate Read and Adopted"
1916841,2025-01-13,Senate,1,"Senate Hopper"
1916841,2025-01-14,Senate,2,"Senate Read and Adopted"
1916845,2025-01-13,House,1,"House Hopper"
1916845,2025-01-14,House,2,"House First Readers"
1916845,2025-01-15,House,3,"House Second Readers"
1916845,2025-02-05,House,4,"House Committee Favorably Reported By Substitute"
1916845,2025-02-05,House,5,"House Third Readers"
1916845,2025-02-05,House,6,"House Passed/Adopted By Substitute"
1916845,2025-02-06,Senate,7,"Senate Read and Referred"
1916845,2025-02-12,Senate,8,"Senate Committee Favorably Reported"
1916845,2025-02-12,Senate,9,"Senate Passed/Adopted"
1916845,2025-04-07,House,10,"House Sent to Governor"
1916845,2025-04-30,House,11,"House Date Signed by Governor"
1916845,2025-04-30,,12,"Act 28"
1916850,2025-01-13,Senate,1,"Senate Hopper"
1916850,2025-01-14,Senate,2,"Senate Read and Referred"
1916850,2025-02-03,Senate,3,"Senate Committee Favorably Reported By Substitute"
1916850,2025-02-04,Senate,4,"Senate Read Second Time"
1916850,2025-02-06,Senate,5,"Senate Third Read"
1916850,2025-02-06,Senate,6,"Senate Passed/Adopted By Substitute"
1916850,2025-02-10,House,7,"House First Readers"
1916850,2025-02-11,House,8,"House Second Readers"
1916850,2025-03-25,House,9,"House Committee Favorably Reported By Substitute"
1916850,2025-03-31,House,10,"House Third Readers"
1916850,2025-03-31,House,11,"House Passed/Adopted By Substitute"
1916850,2025-03-31,Senate,12,"Senate Agreed House Amend or Sub"
1916850,2025-04-07,Senate,13,"Senate Sent to Governor"
1916850,2025-04-28,Senate,14,"Senate Date Signed by Governor"
1916850,2025-04-28,,15,"Act 11"
1916854,2025-01-13,House,1,"House Hopper"
1916854,2025-01-14,House,2,"House First Readers"
1916854,2025-01-15,House,3,"House Second Readers"
1916854,2025-02-05,House,4,"House Committee Favorably Reported"
1916854,2025-02-05,House,5,"House Third Readers"
1916854,2025-02-05,House,6,"House Passed/Adopted"
1916854,2025-02-06,Senate,7,"Senate Read and Referred"
1916854,2025-02-12,Senate,8,"Senate Committee Favorably Reported"
1916854,2025-02-12,Senate,9,"Senate Passed/Adopted"
1916854,2025-04-07,House,10,"House Sent to Governor"
1916858,2025-01-13,Senate,1,"Senate Hopper"
1916858,2025-01-13,Senate,2,"Senate Read and Adopted"
1916858,2025-01-13,Senate,3,"Senate Transmitted House"
