people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
1782,"Lee Anderson",Lee,,Anderson,,,2,R,2,Sen,SD-024,6620668,84624,,Lee_Anderson,267971,0
1797,"Debbie Buckner",Debbie,Gignilliat,Buckner,,,1,D,1,Rep,HD-137,12999298,31792,,Debbie_Buckner,211902,0
1799,"Jon Burns",Jon,G.,Burns,,,2,R,1,Rep,HD-159,6662547,31806,,Jon_G._Burns,228473,0
1801,"Charlice Byrd",Charlice,,Byrd,,,2,R,1,Rep,HD-020,12999127,32017,,Charlice_Byrd,228410,0
1807,"Mike Cheokas",Mike,A.,Cheokas,,Mike,2,R,1,Rep,HD-151,6459549,31576,,Mike_Cheokas,228467,0
1813,"Sharon Cooper",Sharon,,Cooper,,,2,R,1,Rep,HD-045,6573006,11740,,Sharon_Cooper,193728,0
1820,"Katie Dempsey",Katie,M.,Dempsey,,,2,R,1,Rep,HD-013,6671760,67815,,Katie_Dempsey,249150,0
1826,"Karla Drenner",Karla,Lea,Drenner,,,1,D,1,Rep,HD-085,6376376,31687,,Karla_Drenner,209132,0
1844,"Gerald Greene",Gerald,E.,Greene,,,2,R,1,Rep,HD-154,6376348,7889,,Gerald_Greene,193658,0
1862,"Carolyn Hugley",Carolyn,F.,Hugley,,,1,D,1,Rep,HD-141,12999307,7904,,Carolyn_Hugley,193829,0
1863,"Mack Jackson",Mack,,Jackson,,,1,D,1,Rep,HD-128,6490929,105230,,Mack_Jackson,267977,0
1869,"Jan Jones",Jan,,Jones,,,2,R,1,Rep,HD-047,6587196,32034,,Jan_Jones,211887,0
1870,"Sheila Jones",Sheila,,Jones,,,1,D,1,Rep,HD-060,6390054,31662,,Sheila_Jones,228440,0
1884,"David Lucas",David,E.,Lucas,,,1,D,2,Sen,SD-026,6376950,7925,,David_Lucas_Sr.,193820,0
1888,"Randal Mangham",Randal,,Mangham,,,1,D,2,Sen,SD-055,12996573,31488,,Randal_Mangham,209134,0
1891,"Charles Martin",Charles,E.,Martin,Jr.,,2,R,1,Rep,HD-049,6587184,31524,,Charles_Martin_Jr.,211888,0
1900,"Billy Mitchell",Billy,,Mitchell,,,1,D,1,Rep,HD-088,6390159,17460,,Billy_Mitchell,211877,0
1908,"Mary Oliver",Mary,Margaret,Oliver,,,1,D,1,Rep,HD-084,12997088,7820,,Mary_Margaret_Oliver,211886,0
1910,"Butch Parrish",Butch,,Parrish,,,2,R,1,Rep,HD-158,6377097,7942,,Butch_Parrish,193840,0
1911,"Don Parsons",Don,L.,Parsons,,,2,R,1,Rep,HD-044,12999150,7943,,Don_Parsons,193737,0
1914,"Alan Powell",Alan,,Powell,,,2,R,1,Rep,HD-033,6377001,7950,,Alan_Powell,193721,0
1931,"Ed Setzler",Ed,,Setzler,,,2,R,2,Sen,SD-037,12999163,31918,,Ed_Setzler,228437,0
1941,"Lynn Smith",Lynn,R.,Smith,,,2,R,1,Rep,HD-070,7866204,11780,,Lynn_Smith,193751,0
1947,"Ron Stephens",Ron,,Stephens,,,2,R,1,Rep,HD-164,6573167,15219,,Ron_Stephens_(Georgia_Representative),193846,0
1958,"Al Williams",Al,,Williams,,,1,D,1,Rep,HD-168,6390322,31449,,Al_Williams_(Georgia_legislator),211917,0
1974,"Bill Cowsert",Bill,,Cowsert,,,2,R,2,Sen,SD-046,6662652,31562,,Bill_Cowsert,249203,0
1982,"Ed Harbison",Ed,,Harbison,,,1,D,2,Sen,SD-015,6376357,7804,,Ed_Harbison,193648,0
1984,"Lee Hawkins",Lee,,Hawkins,,,2,R,1,Rep,HD-027,6840501,67378,,Lee_Hawkins,249205,0
1993,"Donzella James",Donzella,,James,,,1,D,2,Sen,SD-028,13011504,7809,,Donzella_James,193669,0
1995,"Emanuel Jones",Emanuel,,Jones,,,1,D,2,Sen,SD-010,6459717,31536,,Emanuel_Jones,227397,0
1999,"Nan Orrock",Nan,Grogan,Orrock,,,1,D,2,Sen,SD-036,6905812,7940,,Nan_Orrock,193754,0
2008,"Freddie Sims",Freddie,Powell,Sims,,,1,D,2,Sen,SD-012,6459920,31367,,Freddie_Sims,228472,0
11777,"Bruce Williamson",Hugh,Brewster,Williamson,III,Bruce,2,R,1,Rep,HD-112,6688756,122885,,Bruce_Williamson_(Georgia),291275,0
11778,"Dar'shun Kendrick",Dar'shun,N.,Kendrick,,,1,D,1,Rep,HD-095,6505613,122848,,Dar%27shun_Kendrick,291253,0
11785,"Frank Ginn",Frank,,Ginn,,,2,R,2,Sen,SD-047,6688949,122693,,Frank_Ginn,289546,0
11786,"Gail Davenport",Gail,Paulette,Davenport,,,1,D,2,Sen,SD-017,6480941,66317,,Gail_Davenport,249201,0
11788,"John Albers",John,,Albers,,,2,R,2,Sen,SD-056,6688981,122715,,John_Albers,291192,0
11792,"Steve Gooch",Steve,,Gooch,,,2,R,2,Sen,SD-051,6676213,82557,,Steve_Gooch,291186,0
11925,"Rick Jasperse",Rick,,Jasperse,,,2,R,1,Rep,HD-011,6688599,122511,,Rick_Jasperse,289552,0
11926,"Elena Parent",Elena,C.,Parent,,,1,D,2,Sen,SD-044,6505594,122835,,Elena_Parent,291248,0
11927,"Ben Watson",Ben,,Watson,,,2,R,2,Sen,SD-001,6688809,122908,,Ben_Watson,291293,0
12039,"Stacey Evans",Stacey,,Evans,,,1,D,1,Rep,HD-057,6505514,122796,,Stacey_Evans,291225,0
12040,"James Hatchett",James,Matthew,Hatchett,,Matt,2,R,1,Rep,HD-155,6688787,122896,,Matt_Hatchett,291285,0
12041,"Scott Holcomb",Scott,M.,Holcomb,,,1,D,1,Rep,HD-101,5788200,122840,,Scott_Holcomb,308528,0
12043,"Darlene Taylor",Darlene,K.,Taylor,,,2,R,1,Rep,HD-173,12999374,122919,,Darlene_Taylor,291302,0
12120,"Yasmin Neal",Yasmin,,Neal,,,1,D,1,Rep,HD-079,6490986,105185,,Yasmin_Neal,291239,0
12192,"David Wilkerson",David,,Wilkerson,,,1,D,1,Rep,HD-038,6505487,122779,,David_Wilkerson,291220,0
12194,"Sandra Scott",Sandra,G.,Scott,,,1,D,1,Rep,HD-076,6505581,122826,,Sandra_Scott,291242,0
12477,"Robert Dickey",Robert,,Dickey,,,2,R,1,Rep,HD-134,5701076,128763,,Robert_Dickey,332039,0
13757,"Miriam Paris",Miriam,L.,Paris,,,1,D,1,Rep,HD-142,6513793,72142,,Miriam_Paris,354164,0
13779,"John Carson",John,,Carson,,,2,R,1,Rep,HD-046,12999174,135769,,John_Carson_(Georgia),291782,0
13780,"Emory Dunahoo",Emory,West,Dunahoo,Jr.,,2,R,1,Rep,HD-031,12999144,134884,,Emory_West_Dunahoo_Jr.,384553,0
15155,"Brandon Beach",Brandon,,Beach,,,2,R,2,Sen,SD-021,6688984,122717,,Brandon_Beach,291193,0
15161,"Chuck Hufstetler",Chuck,,Hufstetler,,,2,R,2,Sen,SD-052,12746045,140281,,Chuck_Hufstetler,423249,0
15168,"Bill Hitchens",Bill,,Hitchens,,,2,R,1,Rep,HD-161,7753199,142235,,Bill_Hitchens,264563,0
15169,"Brian Strickland",Brian,,Strickland,,,2,R,2,Sen,SD-042,12746080,142212,,Brian_Strickland,423293,0
15175,"Demetrius Douglas",Demetrius,,Douglas,,,1,D,1,Rep,HD-078,12745834,142009,,Demetrius_Douglas,423253,0
15176,"Dexter Sharper",Dexter,L.,Sharper,,,1,D,1,Rep,HD-177,12745874,142244,,Dexter_Sharper,423431,0
15177,"Eddie Lumsden",Eddie,,Lumsden,,,2,R,1,Rep,HD-012,6836010,82648,,Eddie_Lumsden,423066,0
15185,"Karen Bennett",Karen,,Bennett,,,1,D,1,Rep,HD-094,12745813,142025,,Karen_Bennett_(Georgia),423265,0
15187,"Kimberly Alexander",Kimberly,,Alexander,,,1,D,1,Rep,HD-066,6505547,122813,,Kimberly_Alexander,291234,0
15191,"Mandi Ballinger",Mandi,L.,Ballinger,,,2,R,1,Rep,HD-023,12746015,140297,,Mandi_Ballinger,423083,0
15194,"Michael Smith",Michael,,Smith,,,1,D,1,Rep,HD-041,6491042,105161,,Michael_Smith_(Georgia_state_representative),423121,0
