bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1916627,1508372,2025-03-06,House,"Adopt: House Vote #220",172,0,2,6,180
1916627,1531753,2025-03-31,Senate,"Adoption By Substitute: Senate Vote #366",49,0,4,3,56
1916627,1537593,2025-04-04,House,"Agree To Senate Sub As Amended By House: House Vote #418",166,0,3,11,180
1916627,1537731,2025-04-04,Senate,"Agree To House Amendment To Senate Substitute: Senate Vote #467",50,0,3,3,56
1916635,1479389,2025-02-03,Senate,"Adoption: Senate Vote #19",52,0,3,1,56
1916635,1498375,2025-02-24,House,"Adopt: House Vote #78",174,0,1,5,180
1916635,1531688,2025-03-31,Senate,"Agree To House Substitute: Senate Vote #359",50,0,6,0,56
1916648,1482986,2025-02-05,House,"Local Calendar : House Vote #15",160,1,14,5,180
1916648,1488596,2025-02-12,Senate,"Local Consent Calendar: Senate Vote #45",52,1,1,2,56
1916686,1482780,2025-02-05,House,"Local Calendar : House Vote #15",160,1,14,5,180
1916686,1488573,2025-02-12,Senate,"Local Consent Calendar: Senate Vote #45",52,1,1,2,56
1916690,1505413,2025-03-04,Senate,"Passage By Substitute: Senate Vote #143",36,11,8,1,56
1916690,1508296,2025-03-06,Senate,"Motion For Reconsideration: Senate Vote #158",20,32,4,0,56
1916713,1500948,2025-02-26,House,"Passage: House Vote #89",157,4,6,13,180
1916713,1535228,2025-04-02,Senate,"Passage By Substitute: Senate Vote #401",47,9,0,0,56
1916730,1483454,2025-02-05,House,"Local Calendar : House Vote #15",160,1,14,5,180
1916730,1488436,2025-02-12,Senate,"Local Consent Calendar: Senate Vote #45",52,1,1,2,56
1916749,1471322,2025-01-13,Senate,"Adoption: Senate Vote #8",56,0,0,0,56
1916753,1488557,2025-02-12,Senate,"Passage: Senate Vote #47",51,1,1,3,56
1916753,1535485,2025-04-02,House,"Passage: House Vote #378",169,2,3,6,180
1916753,1537809,2025-04-04,Senate,"Agree To House Substitute: Senate Vote #478",52,0,3,1,56
1916772,1471323,2025-01-13,Senate,"Motion To Engross: Senate Vote #4",32,24,0,0,56
1916772,1471324,2025-01-13,Senate,"Adoption: Senate Vote #5",56,0,0,0,56
1916776,1505558,2025-03-04,House,"Local Calendar : House Vote #148",172,0,6,2,180
1916776,1517783,2025-03-13,Senate,"Local Consent Calendar: Senate Vote #229",48,0,4,4,56
1916785,1482758,2025-02-05,House,"Local Calendar : House Vote #15",160,1,14,5,180
1916785,1488509,2025-02-12,Senate,"Local Consent Calendar: Senate Vote #45",52,1,1,2,56
1916808,1505426,2025-03-04,Senate,"Adoption By Substitute: Senate Vote #137",49,0,3,4,56
1916808,1535435,2025-04-02,House,"Adopt: House Vote #387",168,0,1,11,180
1916808,1537793,2025-04-04,Senate,"Agree To House Substitute: Senate Vote #465",49,0,5,2,56
1916814,1483001,2025-02-05,House,"Local Calendar : House Vote #15",160,1,14,5,180
1916814,1488589,2025-02-12,Senate,"Local Consent Calendar: Senate Vote #45",52,1,1,2,56
1916827,1471325,2025-01-13,Senate,"Motion To Engross: Senate Vote #6",33,23,0,0,56
1916831,1471326,2025-01-13,Senate,"Motion To Engross: Senate Vote #2",32,24,0,0,56
1916831,1471327,2025-01-13,Senate,"Adoption: Senate Vote #3",55,1,0,0,56
1916845,1483071,2025-02-05,House,"Local Calendar : House Vote #15",160,1,14,5,180
1916845,1488591,2025-02-12,Senate,"Local Consent Calendar: Senate Vote #45",52,1,1,2,56
1916850,1483711,2025-02-06,Senate,"Adoption Of Amendment #1 By The Senator From The 22nd: Senate Vote #23",19,32,1,4,56
1916850,1483712,2025-02-06,Senate,"Adoption Of Amendment #2 By The Senator From The 41st: Senate Vote #24",18,34,0,4,56
1916850,1483713,2025-02-06,Senate,"Adoption Of Amendment #3 By The Senator From The 44th: Senate Vote #25",19,33,0,4,56
1916850,1483714,2025-02-06,Senate,"Passage By Substitute: Senate Vote #26",35,17,0,4,56
1916850,1531583,2025-03-31,House,"Passage: House Vote #350",100,64,5,11,180
1916850,1531584,2025-03-31,Senate,"Agree To House Substitute As Amended: Senate Vote #372",17,37,1,1,56
1916850,1531585,2025-03-31,Senate,"Agree To House Substitute: Senate Vote #373",34,20,1,1,56
1916854,1482996,2025-02-05,House,"Local Calendar : House Vote #15",160,1,14,5,180
1916854,1488467,2025-02-12,Senate,"Local Consent Calendar: Senate Vote #45",52,1,1,2,56
1916909,1488555,2025-02-12,House,"Passage: House Vote #26",163,1,9,7,180
1916909,1511993,2025-03-10,Senate,"Passage: Senate Vote #222",46,1,1,8,56
1919082,1496940,2025-02-21,House,"Passage: House Vote #60",153,4,13,10,180
1919082,1524391,2025-03-21,Senate,"Passage By Substitute: Senate Vote #267",53,2,0,1,56
1919082,1529728,2025-03-27,House,"Agree To Senate Sub As Am: House Vote #328",162,1,3,14,180
1919082,1531535,2025-03-31,Senate,"Agree To House Amendment To Senate Substitute As Amended: Senate Vote #361",12,41,2,1,56
1919082,1531536,2025-03-31,Senate,"Agree To House Amendment To Senate Substitute: Senate Vote #362",54,0,1,1,56
1919119,1496060,2025-02-20,House,"Passage: House Vote #49",120,55,2,3,180
1919129,1508370,2025-03-06,House,"Passage: House Vote #218",172,0,3,5,180
1919140,1508350,2025-03-06,House,"Passage: House Vote #194",170,5,2,3,180
1919144,1508235,2025-03-06,House,"Passage: House Vote #233",177,0,2,1,180
1919144,1535450,2025-04-02,Senate,"Adoption Of Amendment #2 By The Senator From The 41st: Senate Vote #398",23,30,2,1,56
1919144,1535451,2025-04-02,Senate,"Passage By Substitute: Senate Vote #399",54,1,0,1,56
1919144,1537559,2025-04-04,House,"Agree To Senate Sub As Amend By House: House Vote #438",157,0,11,12,180
1919150,1505545,2025-03-04,Senate,"Passage By Substitute: Senate Vote #145",46,9,0,1,56
1919150,1529641,2025-03-27,House,"Passage: House Vote #322",152,12,4,12,180
1919153,1505365,2025-03-04,House,"Passage: House Vote #162",169,2,3,6,180
1919153,1535364,2025-04-02,Senate,"Passage By Substitute: Senate Vote #385",52,1,1,2,56
1919153,1537481,2025-04-04,House,"Agree To Senate Substitute: House Vote #408",163,0,8,9,180
1919187,1496103,2025-02-20,House,"Passage: House Vote #48",164,0,13,3,180
1919187,1527041,2025-03-25,Senate,"Passage By Substitute: Senate Vote #279",54,0,1,1,56
1919187,1529587,2025-03-27,House,"Agree To Senate Substitute: House Vote #327",163,0,4,13,180
1919191,1498549,2025-02-24,House,"Passage: House Vote #77",171,2,1,6,180
1919212,1483073,2025-02-05,House,"Local Calendar : House Vote #15",160,1,14,5,180
1919212,1488437,2025-02-12,Senate,"Local Consent Calendar: Senate Vote #45",52,1,1,2,56
1919221,1485807,2025-02-10,Senate,"Passage: Senate Vote #28",51,1,3,1,56
1919221,1532120,2025-03-31,House,"Passage: House Vote #348",79,87,6,8,180
1919221,1532121,2025-03-31,House,"Reconsider: House Vote #349",94,74,6,6,180
1919231,1488593,2025-02-12,House,"Passage: House Vote #27",166,1,6,7,180
1919231,1523743,2025-03-20,Senate,"Passage By Substitute: Senate Vote #254",51,1,0,4,56
1919231,1527162,2025-03-25,House,"Agree To Senate Substitute: House Vote #314",166,0,9,5,180
1919239,1489883,2025-02-13,House,"Passage: House Vote #33",99,70,5,6,180
1919239,1535193,2025-04-02,Senate,"Adoption Of Amendment #1 By The Senator From The 49th: Senate Vote #409",38,13,2,3,56
1919239,1535194,2025-04-02,Senate,"Passage By Substitute: Senate Vote #410",49,4,0,3,56
1919239,1537596,2025-04-04,House,"Agree To Senate Substitute: House Vote #407",165,2,5,8,180
1919249,1485661,2025-02-10,Senate,"Passage By Substitute: Senate Vote #31",55,0,0,1,56
1919249,1520517,2025-03-18,House,"Passage: House Vote #283",170,0,4,6,180
1919254,1494475,2025-02-19,House,"Passage: House Vote #42",169,3,5,3,180
1919254,1530530,2025-03-28,Senate,"Passage: Senate Vote #315",46,5,0,5,56
1922171,1504484,2025-02-28,House,"Passage: House Vote #117",164,2,5,9,180
1922171,1535550,2025-04-02,Senate,"Motion To Engross: Sb 214, Hb 66, Hb 79, Hb 129, Hb 134, Hb 141, Hb 370, Hb 397, Hb 445, Hb 463, Hb 532, Hb 586, Hb 652: Senate Vote #383",31,24,0,1,56
1922179,1498499,2025-02-24,Senate,"Passage: Senate Vote #85",42,11,2,1,56
1922179,1524432,2025-03-21,House,"Passage: House Vote #299",109,50,6,15,180
1922179,1530047,2025-03-27,Senate,"Agree To House Substitute: Senate Vote #308",50,0,4,2,56
1922188,1496979,2025-02-21,Senate,"Passage By Substitute: Senate Vote #80",49,0,5,2,56
1922188,1537598,2025-04-04,House,"Passage: House Vote #432",167,1,1,11,180
1922188,1537736,2025-04-04,Senate,"Agree To House Substitute: Senate Vote #490",53,1,1,1,56
1922222,1508108,2025-03-06,Senate,"Passage By Substitute: Senate Vote #163",55,0,0,1,56
1922222,1535493,2025-04-02,House,"Passage: House Vote #380",171,0,1,8,180
