bill_id,people_id,position
1916627,20734,2
1916627,21611,1
1916631,24432,1
1916635,11925,2
1916635,20734,1
1916640,11792,2
1916640,16731,3
1916640,16732,1
1916644,11788,2
1916644,15155,16
1916644,15161,5
1916644,15169,12
1916644,15198,14
1916644,16732,17
1916644,18708,9
1916644,18899,8
1916644,19105,6
1916644,21619,3
1916644,22295,1
1916644,22297,13
1916644,22298,10
1916644,22302,7
1916644,23945,11
1916644,23974,4
1916644,26241,15
1916648,21611,1
1916654,12194,1
1916654,19497,3
1916654,20969,2
1916658,1782,17
1916658,1974,9
1916658,11785,10
1916658,11927,5
1916658,15155,2
1916658,15169,16
1916658,15198,13
1916658,16730,21
1916658,16732,23
1916658,17843,4
1916658,18709,6
1916658,19498,8
1916658,20734,1
1916658,20738,3
1916658,20985,22
1916658,22297,14
1916658,22298,18
1916658,22299,11
1916658,22301,20
1916658,22302,7
1916658,23945,19
1916658,25168,15
1916658,26241,12
1916663,11778,1
1916667,11778,1
1916671,1782,16
1916671,11788,7
1916671,11792,4
1916671,15155,2
1916671,15169,15
1916671,15198,12
1916671,16730,20
1916671,16732,6
1916671,19105,10
1916671,20734,1
1916671,20738,3
1916671,20985,21
1916671,21619,8
1916671,22295,5
1916671,22297,13
1916671,22298,17
1916671,22301,19
1916671,23945,18
1916671,23974,9
1916671,25168,14
1916671,26241,11
1916676,16153,1
1916681,12194,1
1916681,19497,2
1916681,20969,3
1916686,24875,1
1916686,26229,2
1916690,1782,19
1916690,1974,10
1916690,11785,11
1916690,11788,8
1916690,11927,5
1916690,15155,2
1916690,15161,6
1916690,15198,16
1916690,16732,9
1916690,17843,4
1916690,18709,13
1916690,20734,1
1916690,20738,3
1916690,20985,23
1916690,21619,7
1916690,22295,22
1916690,22297,17
1916690,22298,20
1916690,22299,12
1916690,22302,14
1916690,23945,21
1916690,25168,18
1916690,26241,15
1916694,12194,1
1916694,19497,3
1916694,20969,2
1916699,1900,4
1916699,12194,3
1916699,18889,5
1916699,19497,1
1916699,20969,2
1916703,1813,2
1916703,1908,3
1916703,12120,5
1916703,22296,1
1916703,24424,4
1916703,24452,6
1916709,11777,1
1916713,1974,5
1916713,16222,2
1916713,19524,1
1916713,24424,3
1916713,24428,4
1916717,12194,2
1916717,18889,4
1916717,19497,1
1916717,20969,3
1916722,12194,1
1916722,19497,2
1916722,20969,3
1916726,16153,1
1916730,16721,1
1916736,12194,2
1916736,17915,4
1916736,19497,3
1916736,20969,1
1916740,20969,1
1916745,22900,1
1916749,11792,1
1916749,11927,7
1916749,15155,4
1916749,16732,2
1916749,17843,6
1916749,19498,8
1916749,20734,3
1916749,20738,5
1916749,22295,9
1916753,1982,5
1916753,1984,7
1916753,11927,3
1916753,15161,4
1916753,16735,6
1916753,17843,2
1916753,19498,1
1916758,11925,4
1916758,16725,2
1916758,20974,5
1916758,20987,1
1916758,25179,3
1916763,16153,1
1916768,12194,1
1916768,19497,2
1916768,20969,3
1916772,11792,2
1916772,16731,3
1916772,16732,1
1916776,24432,1
1916781,1900,4
1916781,12194,3
1916781,18889,5
1916781,19497,1
1916781,20969,2
1916785,24875,1
1916791,11777,1
1916795,12194,1
1916795,19497,3
1916795,20969,2
1916799,12194,1
1916799,19497,2
1916799,20969,3
1916804,18707,6
1916804,22296,1
1916804,22335,3
1916804,24427,4
1916804,24447,5
1916804,24450,2
1916808,1782,25
1916808,1931,8
1916808,1974,18
1916808,11785,11
1916808,11788,5
1916808,11792,4
1916808,11927,24
1916808,15155,10
1916808,15161,14
1916808,15198,23
1916808,16155,31
1916808,16730,17
1916808,16732,3
1916808,16735,27
1916808,17843,15
1916808,18708,16
1916808,18709,13
1916808,18899,7
1916808,19105,12
1916808,19498,26
1916808,20738,2
1916808,20985,30
1916808,21619,6
1916808,22295,1
1916808,22297,9
1916808,22301,21
1916808,23945,19
1916808,23973,28
1916808,25168,22
1916808,26241,20
1916808,26243,29
1916814,24875,1
1916814,26229,2
1916818,12194,1
1916818,19497,2
1916818,20969,3
1916822,1826,2
1916822,12194,3
1916822,18889,5
1916822,19497,1
1916822,20969,4
1916827,1782,17
1916827,1974,10
1916827,11788,7
1916827,11792,3
1916827,15155,4
1916827,15161,15
1916827,15169,16
1916827,16732,2
1916827,18709,6
1916827,19105,9
1916827,20734,1
1916827,20738,13
1916827,21619,8
1916827,22295,12
1916827,22299,14
1916827,22302,11
1916827,23945,5
1916831,11792,2
1916831,16731,3
1916831,16732,1
1916835,11788,1
1916835,16732,4
1916835,20738,3
1916835,22295,5
